"community_cards","current_street","encoded_actions","final_pot","final_stack","game_number","hand_name","hand_value","hole_cards","initial_seats","initial_stack","player_name","pot","round_count","street","uuid","win_rate","won_hand","action_1_type","action_1_amount","action_1_street","action_1_player","action_1_pot","action_1_bet_percentage","action_1_encoded_past_actions","action_2_type","action_2_amount","action_2_street","action_2_player","action_2_pot","action_2_bet_percentage","action_2_encoded_past_actions","action_3_type","action_3_amount","action_3_street","action_3_player","action_3_pot","action_3_bet_percentage","action_3_encoded_past_actions","action_4_type","action_4_amount","action_4_street","action_4_player","action_4_pot","action_4_bet_percentage","action_4_encoded_past_actions","action_5_type","action_5_amount","action_5_street","action_5_player","action_5_pot","action_5_bet_percentage","action_5_encoded_past_actions","action_6_type","action_6_amount","action_6_street","action_6_player","action_6_pot","action_6_bet_percentage","action_6_encoded_past_actions","action_7_type","action_7_amount","action_7_street","action_7_player","action_7_pot","action_7_bet_percentage","action_7_encoded_past_actions","action_8_type","action_8_amount","action_8_street","action_8_player","action_8_pot","action_8_bet_percentage","action_8_encoded_past_actions","action_9_type","action_9_amount","action_9_street","action_9_player","action_9_pot","action_9_bet_percentage","action_9_encoded_past_actions","action_10_type","action_10_amount","action_10_street","action_10_player","action_10_pot","action_10_bet_percentage","action_10_encoded_past_actions","action_11_type","action_11_amount","action_11_street","action_11_player","action_11_pot","action_11_bet_percentage","action_11_encoded_past_actions","action_12_type","action_12_amount","action_12_street","action_12_player","action_12_pot","action_12_bet_percentage","action_12_encoded_past_actions","action_13_type","action_13_amount","action_13_street","action_13_player","action_13_pot","action_13_bet_percentage","action_13_encoded_past_actions","action_14_type","action_14_amount","action_14_street","action_14_player","action_14_pot","action_14_bet_percentage","action_14_encoded_past_actions","action_15_type","action_15_amount","action_15_street","action_15_player","action_15_pot","action_15_bet_percentage","action_15_encoded_past_actions","action_16_type","action_16_amount","action_16_street","action_16_player","action_16_pot","action_16_bet_percentage","action_16_encoded_past_actions","action_17_type","action_17_amount","action_17_street","action_17_player","action_17_pot","action_17_bet_percentage","action_17_encoded_past_actions","action_18_type","action_18_amount","action_18_street","action_18_player","action_18_pot","action_18_bet_percentage","action_18_encoded_past_actions","action_19_type","action_19_amount","action_19_street","action_19_player","action_19_pot","action_19_bet_percentage","action_19_encoded_past_actions","action_20_type","action_20_amount","action_20_street","action_20_player","action_20_pot","action_20_bet_percentage","action_20_encoded_past_actions","action_21_type","action_21_amount","action_21_street","action_21_player","action_21_pot","action_21_bet_percentage","action_21_encoded_past_actions","action_22_type","action_22_amount","action_22_street","action_22_player","action_22_pot","action_22_bet_percentage","action_22_encoded_past_actions","action_23_type","action_23_amount","action_23_street","action_23_player","action_23_pot","action_23_bet_percentage","action_23_encoded_past_actions","action_24_type","action_24_amount","action_24_street","action_24_player","action_24_pot","action_24_bet_percentage","action_24_encoded_past_actions","action_25_type","action_25_amount","action_25_street","action_25_player","action_25_pot","action_25_bet_percentage","action_25_encoded_past_actions","action_26_type","action_26_amount","action_26_street","action_26_player","action_26_pot","action_26_bet_percentage","action_26_encoded_past_actions","action_27_type","action_27_amount","action_27_street","action_27_player","action_27_pot","action_27_bet_percentage","action_27_encoded_past_actions","action_28_type","action_28_amount","action_28_street","action_28_player","action_28_pot","action_28_bet_percentage","action_28_encoded_past_actions","action_29_type","action_29_amount","action_29_street","action_29_player","action_29_pot","action_29_bet_percentage","action_29_encoded_past_actions","action_30_type","action_30_amount","action_30_street","action_30_player","action_30_pot","action_30_bet_percentage","action_30_encoded_past_actions","action_31_type","action_31_amount","action_31_street","action_31_player","action_31_pot","action_31_bet_percentage","action_31_encoded_past_actions","action_32_type","action_32_amount","action_32_street","action_32_player","action_32_pot","action_32_bet_percentage","action_32_encoded_past_actions","action_33_type","action_33_amount","action_33_street","action_33_player","action_33_pot","action_33_bet_percentage","action_33_encoded_past_actions","action_34_type","action_34_amount","action_34_street","action_34_player","action_34_pot","action_34_bet_percentage","action_34_encoded_past_actions","action_35_type","action_35_amount","action_35_street","action_35_player","action_35_pot","action_35_bet_percentage","action_35_encoded_past_actions","action_36_type","action_36_amount","action_36_street","action_36_player","action_36_pot","action_36_bet_percentage","action_36_encoded_past_actions","action_37_type","action_37_amount","action_37_street","action_37_player","action_37_pot","action_37_bet_percentage","action_37_encoded_past_actions","action_38_type","action_38_amount","action_38_street","action_38_player","action_38_pot","action_38_bet_percentage","action_38_encoded_past_actions","action_39_type","action_39_amount","action_39_street","action_39_player","action_39_pot","action_39_bet_percentage","action_39_encoded_past_actions","action_40_type","action_40_amount","action_40_street","action_40_player","action_40_pot","action_40_bet_percentage","action_40_encoded_past_actions","action_41_type","action_41_amount","action_41_street","action_41_player","action_41_pot","action_41_bet_percentage","action_41_encoded_past_actions","action_42_type","action_42_amount","action_42_street","action_42_player","action_42_pot","action_42_bet_percentage","action_42_encoded_past_actions","action_43_type","action_43_amount","action_43_street","action_43_player","action_43_pot","action_43_bet_percentage","action_43_encoded_past_actions","action_44_type","action_44_amount","action_44_street","action_44_player","action_44_pot","action_44_bet_percentage","action_44_encoded_past_actions","action_45_type","action_45_amount","action_45_street","action_45_player","action_45_pot","action_45_bet_percentage","action_45_encoded_past_actions","action_46_type","action_46_amount","action_46_street","action_46_player","action_46_pot","action_46_bet_percentage","action_46_encoded_past_actions","action_47_type","action_47_amount","action_47_street","action_47_player","action_47_pot","action_47_bet_percentage","action_47_encoded_past_actions","action_48_type","action_48_amount","action_48_street","action_48_player","action_48_pot","action_48_bet_percentage","action_48_encoded_past_actions","action_49_type","action_49_amount","action_49_street","action_49_player","action_49_pot","action_49_bet_percentage","action_49_encoded_past_actions","action_50_type","action_50_amount","action_50_street","action_50_player","action_50_pot","action_50_bet_percentage","action_50_encoded_past_actions"
"","flop","216800","20","1010","1","","","D5,HA","[{'name': 'GTO_Player1', 'uuid': 'ywcsfjsuyfclrnzsjywodl', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'gktrlefotyxkrkcxabtcee', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","ywcsfjsuyfclrnzsjywodl","0.54","1","call","10","preflop","gktrlefotyxkrkcxabtcee","20","0.0","2130","call","10","preflop","ywcsfjsuyfclrnzsjywodl","20","0.0","21430","fold","0","flop","gktrlefotyxkrkcxabtcee","20","0.0","216800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'yrohfykfmacwbsblqsxcke', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'bexmvuszaueqwthxjbgsft', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","yrohfykfmacwbsblqsxcke","","1","fold","0","preflop","bexmvuszaueqwthxjbgsft","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","22460","40","990","1","","","C7,S6","[{'name': 'GTO_Player1', 'uuid': 'tpkdxkouvvcdswyxzlhmmn', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'qwqgxzvftxbhksmopmkjug', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","40","1","preflop","tpkdxkouvvcdswyxzlhmmn","0.46","0","raise","30","preflop","qwqgxzvftxbhksmopmkjug","40","66.66666666666666","2246","fold","0","preflop","tpkdxkouvvcdswyxzlhmmn","40","0.0","22460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","21300","20","990","1","","","D5,S4","[{'name': 'GTO_Player1', 'uuid': 'volaafvrnnziksyhwuqnnp', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'svyfqhfwrasmcpnpkwfszf', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","volaafvrnnziksyhwuqnnp","0.38","0","call","10","preflop","svyfqhfwrasmcpnpkwfszf","20","0.0","2130","fold","0","preflop","volaafvrnnziksyhwuqnnp","20","0.0","21300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'bglsyrcxtnpzzomqnsouwj', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'asivspcrjounobrqmfzmft', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","bglsyrcxtnpzzomqnsouwj","","1","fold","0","preflop","asivspcrjounobrqmfzmft","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'wqiurlwcqjfisfqgkhqnik', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'dkgzjjgpjnitzncjpptdpr', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","wqiurlwcqjfisfqgkhqnik","","1","fold","0","preflop","dkgzjjgpjnitzncjpptdpr","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","22460","40","990","1","","","D5,H2","[{'name': 'GTO_Player1', 'uuid': 'aowaqlgshdiyylhdexnucl', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'kbxbzxxodvhpkigounukeo', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","40","1","preflop","aowaqlgshdiyylhdexnucl","0.34","0","raise","30","preflop","kbxbzxxodvhpkigounukeo","40","66.66666666666666","2246","fold","0","preflop","aowaqlgshdiyylhdexnucl","40","0.0","22460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","flop","216800","20","1010","1","","","C7,SQ","[{'name': 'GTO_Player1', 'uuid': 'rhpnlwqgrefplfjjzoigjx', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'evydfdzetlmiqkbxkzuxpn', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","rhpnlwqgrefplfjjzoigjx","0.52","1","call","10","preflop","evydfdzetlmiqkbxkzuxpn","20","0.0","2130","call","10","preflop","rhpnlwqgrefplfjjzoigjx","20","0.0","21430","fold","0","flop","evydfdzetlmiqkbxkzuxpn","20","0.0","216800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'qpftplsvnvcyrnynihpbfn', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'duelvygqokmxstjgailylz', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","qpftplsvnvcyrnynihpbfn","","1","fold","0","preflop","duelvygqokmxstjgailylz","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SA,S3,ST","flop","415330214120","1380","1570","1","","","D7,HT","[{'name': 'GTO_Player1', 'uuid': 'zxnyelzwujbdsesgnzrnfj', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'nxdaoouxlqzxjcwgljqqxj', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","900","1","flop","zxnyelzwujbdsesgnzrnfj","0.64","1","call","10","preflop","nxdaoouxlqzxjcwgljqqxj","20","0.0","2130","call","10","preflop","zxnyelzwujbdsesgnzrnfj","20","0.0","21430","raise","20","flop","nxdaoouxlqzxjcwgljqqxj","40","100.0","217049","raise","40","flop","zxnyelzwujbdsesgnzrnfj","80","66.66666666666666","2171246","raise","80","flop","nxdaoouxlqzxjcwgljqqxj","140","57.14285714285714","21715225","raise","120","flop","zxnyelzwujbdsesgnzrnfj","220","46.15384615384615","217153014","raise","220","flop","nxdaoouxlqzxjcwgljqqxj","360","45.83333333333333","2171532914","raise","320","flop","zxnyelzwujbdsesgnzrnfj","560","40.0","21715329924","raise","560","flop","nxdaoouxlqzxjcwgljqqxj","900","41.17647058823529","217153302034","raise","800","flop","zxnyelzwujbdsesgnzrnfj","1380","37.03703703703704","2171533021133","raise","-1","flop","nxdaoouxlqzxjcwgljqqxj","1380","0.0","415330214120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CA,H4,S3,DQ","turn","217146560","120","970","1","","","DT,D5","[{'name': 'GTO_Player1', 'uuid': 'ijxjnynuyufthxryornsjb', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'wnodmkvhcpnlqcphboacqh', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","120","1","turn","ijxjnynuyufthxryornsjb","0.25","0","call","10","preflop","wnodmkvhcpnlqcphboacqh","20","0.0","2130","call","10","preflop","ijxjnynuyufthxryornsjb","20","0.0","21430","raise","20","flop","wnodmkvhcpnlqcphboacqh","40","100.0","217049","call","20","flop","ijxjnynuyufthxryornsjb","60","0.0","2171130","raise","60","turn","wnodmkvhcpnlqcphboacqh","120","60.0","21714556","fold","0","turn","ijxjnynuyufthxryornsjb","120","0.0","217146560","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","flop","216800","20","1010","1","","","S3,HA","[{'name': 'GTO_Player1', 'uuid': 'jjtwkyiwubgnihwpfqwpbn', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'jigawjcxqnbplcnynlbdaw', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","jjtwkyiwubgnihwpfqwpbn","0.6","1","call","10","preflop","jigawjcxqnbplcnynlbdaw","20","0.0","2130","call","10","preflop","jjtwkyiwubgnihwpfqwpbn","20","0.0","21430","fold","0","flop","jigawjcxqnbplcnynlbdaw","20","0.0","216800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","21300","20","990","1","","","H3,C6","[{'name': 'GTO_Player1', 'uuid': 'ohmiermknnikczucmngbwh', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'jblllantzgqgvlijkrocku', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","ohmiermknnikczucmngbwh","0.31","0","call","10","preflop","jblllantzgqgvlijkrocku","20","0.0","2130","fold","0","preflop","ohmiermknnikczucmngbwh","20","0.0","21300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
